type,lambda,Kd
I,350,0.064
I,375,0.036
I,400,0.026
I,425,0.019
I,450,0.012
I,475,0.015
I,500,0.021
I,525,0.029
I,550,0.038
I,575,0.064
I,600,0.123
I,625,0.183
I,650,0.255
I,675,0.389
I,700,0.556
IA,350,0.076
IA,375,0.044
IA,400,0.033
IA,425,0.023
IA,450,0.016
IA,475,0.018
IA,500,0.024
IA,525,0.032
IA,550,0.041
IA,575,0.068
IA,600,0.125
IA,625,0.185
IA,650,0.257
IA,675,0.391
IA,700,0.558
IB,350,0.092
IB,375,0.057
IB,400,0.046
IB,425,0.033
IB,450,0.025
IB,475,0.026
IB,500,0.029
IB,525,0.038
IB,550,0.047
IB,575,0.078
IB,600,0.129
IB,625,0.191
IB,650,0.26
IB,675,0.396
IB,700,0.561
II,350,0.15
II,375,0.116
II,400,0.096
II,425,0.076
II,450,0.062
II,475,0.056
II,500,0.051
II,525,0.057
II,550,0.063
II,575,0.099
II,600,0.142
II,625,0.207
II,650,0.271
II,675,0.41
II,700,0.572
III,350,0.25
III,375,0.213
III,400,0.183
III,425,0.157
III,450,0.136
III,475,0.121
III,500,0.108
III,525,0.107
III,550,0.106
III,575,0.145
III,600,0.175
III,625,0.238
III,650,0.295
III,675,0.44
III,700,0.583
C1,350,0.442
C1,375,0.385
C1,400,0.335
C1,425,0.298
C1,450,0.266
C1,475,0.24
C1,500,0.216
C1,525,0.205
C1,550,0.196
C1,575,0.218
C1,600,0.24
C1,625,0.296
C1,650,0.344
C1,675,0.483
C1,700,0.622
C2,350,0.784
C2,375,0.696
C2,400,0.613
C2,425,0.55
C2,450,0.495
C2,475,0.449
C2,500,0.409
C2,525,0.39
C2,550,0.373
C2,575,0.381
C2,600,0.394
C2,625,0.436
C2,650,0.48
C2,675,0.597
C2,700,0.718
C3,350,1.138
C3,375,1.013
C3,400,0.898
C3,425,0.81
C3,450,0.728
C3,475,0.659
C3,500,0.607
C3,525,0.58
C3,550,0.557
C3,575,0.554
C3,600,0.564
C3,625,0.597
C3,650,0.633
C3,675,0.729
C3,700,0.843
