wv,depth_0m,depth_5m,depth_10m
352.5,0.8081125,0.5678488,0.3795466
357.5,0.7210092,0.5259998,0.3658235
362.5,0.8109883,0.6079552,0.4353194
367.5,0.9564883,0.7315533,0.5353198
372.5,0.8273239,0.6392704,0.4731173
377.5,0.918912,0.7119213,0.5286289
382.5,0.7607552,0.5947868,0.4461507
387.5,0.8303366,0.6573146,0.4998321
392.5,0.8939946,0.7136344,0.5477017
397.5,1.0905758,0.8788644,0.6813833
402.5,1.418477,1.154146,0.9043658
407.5,1.375993,1.124803,0.886136
412.5,1.477116,1.208296,0.9529785
417.5,1.487402,1.215539,0.9580165
422.5,1.47015,1.20079,0.9461484
427.5,1.350349,1.1015048,0.8669728
432.5,1.329434,1.0817934,0.8494736
437.5,1.542031,1.2498886,0.9777092
442.5,1.638695,1.3256705,1.0351168
447.5,1.715217,1.3884632,1.0850918
452.5,1.77986,1.44491,1.1328671
457.5,1.790177,1.463127,1.1556164
462.5,1.779906,1.463642,1.1637639
467.5,1.779076,1.470298,1.1755268
472.5,1.793177,1.487975,1.1950004
477.5,1.830883,1.522017,1.2249058
482.5,1.81246,1.508989,1.2165909
487.5,1.684452,1.4050951,1.1353025
492.5,1.785211,1.487611,1.2008555
497.5,1.759501,1.4606354,1.1745149
502.5,1.6826291,1.3813571,1.0979387
507.5,1.7365509,1.3930276,1.080776
512.5,1.6801112,1.3079898,0.9836598
517.5,1.5505883,1.1889891,0.8803154
522.5,1.6613429,1.2754261,0.945656
527.5,1.6323234,1.2516756,0.927083
532.5,1.6483474,1.2578971,0.9272032
537.5,1.6584593,1.2570358,0.9202367
542.5,1.619918,1.2119613,0.8755264
547.5,1.6236555,1.1875208,0.8381443
552.5,1.6213186,1.1613946,0.8024556
557.5,1.5769532,1.1158202,0.7614061
562.5,1.5948708,1.1158637,0.7527362
567.5,1.5614882,1.0713076,0.7084091
572.5,1.5666829,1.0367897,0.6608139
577.5,1.5558851,0.9726815,0.5850304
582.5,1.5672086,0.8925101,0.4883001
587.5,1.4522289,0.726866,0.34904884
592.5,1.418162,0.60413285,0.24671262
597.5,1.4478739,0.48306591,0.15451318
602.5,1.4630182,0.37936904,0.09446322
607.5,1.470011,0.33943646,0.075344246
612.5,1.4321268,0.32162782,0.069444493
617.5,1.4254019,0.31041675,0.064993939
622.5,1.4264945,0.2974223,0.059636431
627.5,1.3915987,0.27749978,0.053240325
632.5,1.3908682,0.26396465,0.048224012
637.5,1.397787,0.24651256,0.04189051
642.5,1.3807278,0.22794582,0.036298172
647.5,1.321523,0.20523376,0.030783056
652.5,1.3184145,0.18013582,0.023838716
657.5,1.25619,0.14100208,0.015453662
662.5,1.3429121,0.12781516,0.01204303
667.5,1.336224,0.11683329,0.010452146
672.5,1.3197762,0.1098164,0.009896839
677.5,1.3110251,0.10267013,0.009247439
682.5,1.2932604,0.09240346,0.007812332
687.5,1.1327394,0.071147416,0.005265906
692.5,1.1429034,0.058935137,0.003446138
697.5,1.1762398,0.045194538,0.00194289
702.5,1.154701,0.029877618,0.0008985311
707.5,1.1841997,0.017674164,0.0003495418
712.5,1.1750011,0.0077522521,0.0001139186
717.5,0.97169112,0.0021946439,5.08453e-05
722.5,0.9705695,0.0006321125,3.32516e-05
727.5,0.95212822,0.0001643251,2.29321e-05
732.5,1.0337622,5.48895e-05,1.568132e-05
737.5,1.0843991,2.87994e-05,1.08596e-05
742.5,1.1091512,2.108681e-05,7.87042e-06
747.5,1.1245235,1.763489e-05,5.92052e-06
752.5,1.1159783,1.507288e-05,4.4997e-06
757.5,0.97232747,1.273577e-05,3.47245e-06
762.5,0.51489133,1.086304e-05,2.81247e-06
767.5,0.92380193,1.057142e-05,2.43044e-06
772.5,1.0581644,1.061679e-05,2.20932e-06
777.5,1.0604706,1.112575e-05,2.077567e-06
782.5,1.0535982,1.251254e-05,1.988262e-06
787.5,1.020323,1.493145e-05,1.910539e-06
792.5,0.9868369,1.760356e-05,1.813557e-06
797.5,0.98180781,1.975786e-05,1.690823e-06
802.5,0.96235151,2.096728e-05,1.556812e-06
807.5,0.96407623,1.970798e-05,1.401317e-06
812.5,0.8764993,1.311357e-05,1.202697e-06
817.5,0.76315542,7.59936e-06,9.87905e-07
822.5,0.80305289,4.96942e-06,7.77799e-07
827.5,0.84361956,3.74661e-06,6.04739e-07
832.5,0.83632532,3.05167e-06,4.75943e-07
837.5,0.89026732,2.238203e-06,3.17703e-07
842.5,0.90548187,1.670169e-06,2.125716e-07
847.5,0.89555307,1.4284918e-06,1.698455e-07
852.5,0.82985322,1.3868282e-06,1.4319561e-07
857.5,0.88148317,1.3024904e-06,1.4116949e-07
862.5,0.89369885,1.2450965e-06,1.1931155e-07
