condition,wavelength,irradiance
clear_noon,300,0
clear_noon,310,0.01
clear_noon,320,0.14
clear_noon,330,0.36
clear_noon,340,0.65
clear_noon,350,0.89
clear_noon,360,1.12
clear_noon,370,1.22
clear_noon,380,1.12
clear_noon,390,1.02
clear_noon,400,1
clear_noon,410,1.22
clear_noon,420,1.43
clear_noon,430,1.47
clear_noon,440,1.51
clear_noon,450,1.56
clear_noon,460,1.6
clear_noon,470,1.66
clear_noon,480,1.72
clear_noon,490,1.78
clear_noon,500,1.84
clear_noon,510,1.88
clear_noon,520,1.9
clear_noon,530,1.9
clear_noon,540,1.88
clear_noon,550,1.85
clear_noon,560,1.81
clear_noon,570,1.76
clear_noon,580,1.72
clear_noon,590,1.67
clear_noon,600,1.62
clear_noon,610,1.57
clear_noon,620,1.52
clear_noon,630,1.47
clear_noon,640,1.42
clear_noon,650,1.37
clear_noon,660,1.32
clear_noon,670,1.26
clear_noon,680,1.2
clear_noon,690,1.14
clear_noon,700,1.08
clear_noon,710,1.02
clear_noon,720,0.96
clear_noon,730,0.9
clear_noon,740,0.84
clear_noon,750,0.78
clear_noon,760,0.72
clear_noon,770,0.66
clear_noon,780,0.6
clear_noon,790,0.54
clear_noon,800,0.48
clear_dawn,300,0
clear_dawn,310,0.0035
clear_dawn,320,0.049
clear_dawn,330,0.126
clear_dawn,340,0.2275
clear_dawn,350,0.3115
clear_dawn,360,0.392
clear_dawn,370,0.427
clear_dawn,380,0.392
clear_dawn,390,0.357
clear_dawn,400,0.35
clear_dawn,410,0.427
clear_dawn,420,0.5005
clear_dawn,430,0.5145
clear_dawn,440,0.5285
clear_dawn,450,0.546
clear_dawn,460,0.56
clear_dawn,470,0.581
clear_dawn,480,0.602
clear_dawn,490,0.623
clear_dawn,500,0.644
clear_dawn,510,0.658
clear_dawn,520,0.665
clear_dawn,530,0.665
clear_dawn,540,0.658
clear_dawn,550,0.6475
clear_dawn,560,0.6335
clear_dawn,570,0.616
clear_dawn,580,0.602
clear_dawn,590,0.5845
clear_dawn,600,0.567
clear_dawn,610,0.5495
clear_dawn,620,0.532
clear_dawn,630,0.5145
clear_dawn,640,0.497
clear_dawn,650,0.4795
clear_dawn,660,0.462
clear_dawn,670,0.441
clear_dawn,680,0.42
clear_dawn,690,0.399
clear_dawn,700,0.378
clear_dawn,710,0.357
clear_dawn,720,0.336
clear_dawn,730,0.315
clear_dawn,740,0.294
clear_dawn,750,0.273
clear_dawn,760,0.252
clear_dawn,770,0.231
clear_dawn,780,0.21
clear_dawn,790,0.189
clear_dawn,800,0.168
overcast,300,0
overcast,310,0.0022
overcast,320,0.0308
overcast,330,0.0792
overcast,340,0.143
overcast,350,0.1958
overcast,360,0.2464
overcast,370,0.2684
overcast,380,0.2464
overcast,390,0.2244
overcast,400,0.22
overcast,410,0.2684
overcast,420,0.3146
overcast,430,0.3234
overcast,440,0.3322
overcast,450,0.3432
overcast,460,0.352
overcast,470,0.3652
overcast,480,0.3784
overcast,490,0.3916
overcast,500,0.4048
overcast,510,0.4136
overcast,520,0.418
overcast,530,0.418
overcast,540,0.4136
