species,channel_role,status,reason,source
Homo sapiens,chromatic,supported,Validated S M and L cone opponent set,Bowmaker & Dartnall 1980
Homo sapiens,achromatic,unavailable,No adaptation-specific photopic or scotopic default is encoded,Package review decision
Danio rerio,chromatic,supported,Validated UV S M and L cone set,Robinson et al. 1993
Danio rerio,achromatic,supported,Adult light-adapted optomotor response is dominated by the L cone,Krauss & Neumeyer 2003
Apis mellifera,chromatic,supported,Validated UV blue and green receptor set,Peitsch et al. 1992
Apis mellifera,achromatic,supported,Green-receptor contrast supports achromatic target detection,Niggebrugge & Hempel de Ibarra 2003
Drosophila melanogaster,chromatic,unavailable,The bundled R7y and R8y records do not represent the complete colour system,Package review decision
Drosophila melanogaster,achromatic,supported,R1-6 mediates achromatic optomotor responses,Yamaguchi et al. 2008
Callorhinchus milii,chromatic,unavailable,Only one cone class is bundled,Package review decision
Callorhinchus milii,achromatic,unavailable,No behavioural channel source or adaptation-specific default is encoded,Package review decision
Latimeria chalumnae,chromatic,unavailable,Only one cone class is bundled,Package review decision
Latimeria chalumnae,achromatic,unavailable,No behavioural channel source or adaptation-specific default is encoded,Package review decision
Xenopus laevis,chromatic,unavailable,No cited complete behavioural colour channel is encoded,Package review decision
Xenopus laevis,achromatic,unavailable,No behavioural channel source or adaptation-specific default is encoded,Package review decision
Oncorhynchus mykiss,chromatic,unavailable,The bundled cone records do not establish a complete behavioural colour channel,Package review decision
Oncorhynchus mykiss,achromatic,unavailable,No behavioural channel source or adaptation-specific default is encoded,Package review decision
