species,channel,channel_role,receptor,weight,is_default,source
Homo sapiens,cone_opponent,chromatic,S-cone,1,TRUE,Bowmaker & Dartnall 1980
Homo sapiens,cone_opponent,chromatic,M-cone,1,TRUE,Bowmaker & Dartnall 1980
Homo sapiens,cone_opponent,chromatic,L-cone,1,TRUE,Bowmaker & Dartnall 1980
Danio rerio,tetrachromatic,chromatic,UV-cone,1,TRUE,Robinson et al. 1993
Danio rerio,tetrachromatic,chromatic,S-cone,1,TRUE,Robinson et al. 1993
Danio rerio,tetrachromatic,chromatic,M-cone,1,TRUE,Robinson et al. 1993
Danio rerio,tetrachromatic,chromatic,L-cone,1,TRUE,Robinson et al. 1993
Apis mellifera,trichromatic,chromatic,UV,1,TRUE,Peitsch et al. 1992
Apis mellifera,trichromatic,chromatic,blue,1,TRUE,Peitsch et al. 1992
Apis mellifera,trichromatic,chromatic,green,1,TRUE,Peitsch et al. 1992
Danio rerio,l_cone_motion,achromatic,L-cone,1,TRUE,Krauss & Neumeyer 2003
Apis mellifera,green_contrast,achromatic,green,1,TRUE,Niggebrugge & Hempel de Ibarra 2003
Drosophila melanogaster,r1_6_motion,achromatic,R1-6,1,TRUE,Yamaguchi et al. 2008
