source,citation_key,citation_status
Bowmaker & Dartnall 1980,bowmakerDartnall1980,verified
Bailes & Lucas 2013,bailesLucas2013,verified
Robinson et al. 1993,robinsonZebrafishUltravioletVisual1993,verified
Peitsch et al. 1992,peitsch1992,verified
Salcedo et al. 1999,salcedo1999,verified
Hart et al. 2004,hart2004,legacy citation requires primary-source confirmation
Yokoyama et al. 1999,yokoyama1999,verified
Yoshiura et al. 2011,yoshiura2011,legacy citation requires primary-source confirmation
Hawryshyn et al. 2003,hawryshynRegenerationUltravioletsensitiveCones2003,verified
Krauss & Neumeyer 2003,kraussNeumeyer2003,verified
Niggebrugge & Hempel de Ibarra 2003,niggebrugge2003,verified
Yamaguchi et al. 2008,yamaguchi2008,verified
Package review decision,packageReviewDecision,package-authored decision
